Region,Island,ymax,ymin,xmin,xmax
MARIAN,Agrihan,18.86122164,18.67453047,145.5847193,145.75238050000002
MARIAN,Aguijan,14.917094220000001,14.779249759999999,145.47619999999998,145.6300492
MARIAN,Alamagan,17.6711183,17.528119999999998,145.7627,145.9029194
MARIAN,Anatahan,16.420583,16.283279999999998,145.59494999999998,145.77027
MARIAN,Arakane,15.686670000000001,15.58427,142.70887,142.80978000000002
MARIAN,Asuncion,19.75855,19.623079349999998,145.3372368,145.470403
PRIAs,Baker,0.256683,0.13615771,-176.53893000000002,-176.406715
MARIAN,Farallon_de_Pajaros,20.60405,20.484605809999998,144.8354,144.95520000000002
NWHI,French_Frigate,23.93381,23.57426,-166.40470000000002,-165.99915099999998
NWHI,Gardner,25.05101,24.946289999999998,-168.05980000000002,-167.94803
MARIAN,Guam,13.70984024,13.17889458,144.57245179999998,145.0124264
MARIAN,Guguan,17.373250000000002,17.24447,145.7806799,145.90281290000001
MHI,Hawaii,20.3212,18.86465,-156.11093200000002,-154.7542
PRIAs,Howland,0.8744756800000001,0.73957,-176.67707000000001,-176.559552
PRIAs,Jarvis,-0.31118270000000003,-0.43260699999999996,-160.065921,-159.9214753
PRIAs,Johnston,16.83817,16.61298,-169.617432,-169.3231381
MHI,Kahoolawe,20.658830000000002,20.45111,-156.7606,-156.48069999999998
MHI,Kauai,22.296836680000002,21.8189,-159.84424460000002,-159.2321
MHI,Kaula,21.705167,21.602767,-160.59521700000002,-160.49365
PRIAs,Kingman,6.5035317599999996,6.32824,-162.52970000000002,-162.28409
NWHI,Kure,28.50947,28.32798333,-178.4343,-178.225
MHI,Lanai,20.98291,20.68067,-157.11158410000002,-156.75137909999998
NWHI,Laysan,25.85244,25.64591667,-171.82160000000002,-171.62637999999998
MHI,Lehua,22.079283,21.964533,-160.1516,-160.04139999999998
NWHI,Lisianski,26.26462,25.83560693,-174.1089,-173.46992999999998
NWHI,Maro,25.57452,25.26746,-170.7601667,-170.40466669999998
MARIAN,Maug,20.08711505,19.95856,145.1560879,145.2904
MHI,Maui,21.08291926,20.52842,-156.7508,-155.92422399999998
NWHI,Midway,28.33649874,28.138616669999998,-177.48080000000002,-177.25781369999999
MHI,Molokai,21.265533,20.98225,-157.3642284,-156.6563
MHI,Molokini,20.683600000000002,20.580299999999998,-156.5488,-156.4466
NWHI,Necker,23.62958333,23.44286667,-164.7715833,-164.5919667
CT,New_Britain,-5.04013534,-5.47684846,150.0460723,150.42769810000001
NWHI,Nihoa,23.11271,23.0033,-161.98000000000002,-161.86401999999998
MHI,Niihau,22.07773,21.73143,-160.302333,-159.9982
MHI,Oahu,21.75447876,21.19259,-158.343217,-157.59818299999998
SAMOA,Ofu_&_Olosega,-14.0984,-14.24343488,-169.7374,-169.55265609999998
MARIAN,Pagan,18.22066143,17.99265359,145.65517469999998,145.8659
PRIAs,Palmyra,5.94903,5.810761,-162.21948,-161.94979999999998
MARIAN,Pathfinder,16.55415,16.45265,143.09547999999998,143.19872
NWHI,Pearl_&_Hermes,28.01905369,27.42178,-176.0662,-175.39829999999998
CT,Philippines,13.778054000000001,13.608594,120.821943,120.945127
SAMOA,Rose,-14.478110449999999,-14.61062,-168.2229,-168.0873351
MARIAN,Rota,14.252930000000001,14.058879999999998,145.073886,145.34300000000002
MARIAN,Saipan,15.340620000000001,15.041282639999999,145.61150569999998,145.88217600000002
MARIAN,Santa_Rosa,12.8628,12.761299999999999,144.37386999999998,144.47485
MARIAN,Sarigan,16.76876141,16.64038875,145.7160189,145.8406969
SAMOA,South_Bank,-14.82711,-14.93716,-170.68252,-170.58178999999998
MARIAN,Stingray,20.54438,20.44437,142.38846999999998,142.48902
MARIAN,Supply,20.190170000000002,20.09017,145.04835,145.14835000000002
SAMOA,Swains,-10.995239999999999,-11.11843,-171.1425737,-171.01384589999998
SAMOA,Tau,-14.15889,-14.32672,-169.57000000000002,-169.36659999999998
CT,Timor_Leste,-8.085930939999999,-9.361863510000001,124.058481,127.39141839999999
MARIAN,Tinian,15.149254840000001,14.875,145.5343,145.7242344
SAMOA,Tutuila,-14.175478479999999,-14.423100000000002,-170.89792,-170.45506999999998
PRIAs,Wake,19.375733450000002,19.217377969999998,166.5437,166.71047180000002
MARIAN,Zealandia,16.947570000000002,16.84487,145.7994,145.90292000000002
