id,x,y,longitude,latitude,depth,strat,strat_area
site_01,356.6499999999968,1648.1850000000202,145.66729934161387,14.904435111878053,15.846208992004394,1,2.809999999996486
site_02,350.8499999999988,1654.885000000014,145.61300020060855,14.96467380333981,13.09987203280131,1,2.809999999996486
site_03,355.4499999999972,1647.8850000000205,145.65616215258518,14.901658295864602,16.918584523200987,1,2.809999999996486
site_04,356.6499999999968,1648.28500000002,145.66729377950975,14.905338996251102,13.652719004154205,1,2.809999999996486
site_05,354.8499999999974,1663.1850000000065,145.6497193014236,15.039918049562392,17.00649527589718,1,2.809999999996486
site_06,349.94999999999914,1657.5850000000116,145.6044745045036,14.989026874370841,14.549171379634313,1,2.809999999996486
site_07,351.44999999999857,1654.1850000000147,145.6186191733735,14.958380610902905,14.38761850164718,1,2.809999999996486
site_08,355.74999999999716,1668.6850000000015,145.65777851968485,15.089680406009908,29.806349754333496,2,10.789999999986506
site_09,356.8499999999967,1647.6850000000206,145.66918611511656,14.899926495188085,23.070639065333776,2,10.789999999986506
site_10,357.1499999999967,1648.7850000000196,145.6719136009314,14.909885423254831,19.332039494514465,2,10.789999999986506
site_11,351.5499999999986,1667.4850000000026,145.618776301657,15.078599256119183,21.1926671564579,2,10.789999999986506
site_12,357.4499999999965,1648.38500000002,145.67472431758387,14.906286034339754,25.222021037882026,2,10.789999999986506
site_13,357.1499999999967,1660.0850000000094,145.67128464571869,15.012024036543545,24.34638782909938,2,10.789999999986506
site_14,355.64999999999714,1665.885000000004,145.65700706794678,15.064366617535677,22.99180828441273,2,10.789999999986506
site_15,353.4499999999979,1649.8850000000186,145.63745871270143,14.919625941869139,29.074695457111705,2,10.789999999986506
site_16,351.44999999999857,1653.785000000015,145.6186423177531,14.954765162894063,22.911488518714904,2,10.789999999986506
site_17,352.4499999999982,1651.8850000000168,145.62804845773547,14.937647757622583,26.27146912859632,2,10.789999999986506
site_18,349.0499999999994,1664.785000000005,145.59568055383514,15.054052529061321,28.39212145124163,2,10.789999999986506
site_19,347.7499999999999,1659.6850000000097,145.5838931319237,15.00788141932302,25.413163373668418,2,10.789999999986506
site_20,347.64999999999986,1661.585000000008,145.58284996483076,15.025048656356896,27.16866330464681,2,10.789999999986506
site_21,356.44999999999686,1660.8850000000086,145.66472994814103,15.019216927941537,23.827296177546184,2,10.789999999986506
site_22,351.84999999999843,1667.7850000000024,145.6215495425289,15.081327807197132,18.484492860521588,2,10.789999999986506
site_23,355.9499999999971,1664.885000000005,145.65985418056405,15.055344429269795,21.63311110602485,2,10.789999999986506
site_24,352.54999999999825,1650.7850000000178,145.62904115215497,14.927710789434714,25.03799788646209,2,10.789999999986506
site_25,356.94999999999675,1648.6850000000197,145.67006009712267,14.908970747039499,18.81751893043518,2,10.789999999986506
site_26,351.84999999999843,1667.8850000000023,145.62154371803413,15.082231660384632,23.323003732933188,2,10.789999999986506
site_27,347.64999999999986,1660.0850000000094,145.58293938556963,15.011491007337575,29.291223578982883,2,10.789999999986506
site_28,350.9499999999988,1654.3850000000145,145.61395898262168,14.96016015387377,21.481006731986998,2,10.789999999986506
site_29,349.8499999999991,1657.3850000000118,145.60355638599992,14.987213470157535,18.790376749038696,2,10.789999999986506
site_30,357.4499999999965,1658.8850000000105,145.674141430985,15.001193764614921,28.837534377824014,2,10.789999999986506
