strat,strat_nam,sector_id,reef_id,depth_bin
1,DEEP_MOL_NW_FOREREEF,MOL_NW,FOREREEF,DEEP
4,DEEP_MOL_WEST_FOREREEF,MOL_WEST,FOREREEF,DEEP
5,MID_MOL_NW_FOREREEF,MOL_NW,FOREREEF,MIDD
8,MID_MOL_WEST_FOREREEF,MOL_WEST,FOREREEF,MIDD
9,SHALLOW_MOL_NW_FOREREEF,MOL_NW,FOREREEF,SHAL
12,SHALLOW_MOL_WEST_FOREREEF,MOL_WEST,FOREREEF,SHAL
2,DEEP_MOL_PALI_FOREREEF,MOL_PALI,FOREREEF,DEEP
6,MID_MOL_PALI_FOREREEF,MOL_PALI,FOREREEF,MIDD
10,SHALLOW_MOL_PALI_FOREREEF,MOL_PALI,FOREREEF,SHAL
7,MID_MOL_SOUTH_FOREREEF,MOL_SOUTH,FOREREEF,MIDD
3,DEEP_MOL_SOUTH_FOREREEF,MOL_SOUTH,FOREREEF,DEEP
11,SHALLOW_MOL_SOUTH_FOREREEF,MOL_SOUTH,FOREREEF,SHAL
