region,island,depth_bin,sector_id,reef_id,strat,strat_nam,strat_area,strat_sets
MHI,mol,DEEP,MOL_NW,FOREREEF,1,DEEP_MOL_NW_FOREREEF,8.509631919748644,9
MHI,mol,DEEP,MOL_WEST,FOREREEF,4,DEEP_MOL_WEST_FOREREEF,18.738193061568225,24
MHI,mol,MIDD,MOL_NW,FOREREEF,5,MID_MOL_NW_FOREREEF,8.54973434908587,12
MHI,mol,MIDD,MOL_WEST,FOREREEF,8,MID_MOL_WEST_FOREREEF,13.339459004335616,30
MHI,mol,SHAL,MOL_NW,FOREREEF,9,SHALLOW_MOL_NW_FOREREEF,2.8532656504270633,6
MHI,mol,SHAL,MOL_WEST,FOREREEF,12,SHALLOW_MOL_WEST_FOREREEF,2.8389856340763533,6
MHI,mol,DEEP,MOL_PALI,FOREREEF,2,DEEP_MOL_PALI_FOREREEF,8.09773113723879,9
MHI,mol,MIDD,MOL_PALI,FOREREEF,6,MID_MOL_PALI_FOREREEF,7.879979385320972,9
MHI,mol,SHAL,MOL_PALI,FOREREEF,10,SHALLOW_MOL_PALI_FOREREEF,3.1729012495724853,6
MHI,mol,MIDD,MOL_SOUTH,FOREREEF,7,MID_MOL_SOUTH_FOREREEF,15.48886042914453,18
MHI,mol,DEEP,MOL_SOUTH,FOREREEF,3,DEEP_MOL_SOUTH_FOREREEF,9.438202931154905,12
MHI,mol,SHAL,MOL_SOUTH,FOREREEF,11,SHALLOW_MOL_SOUTH_FOREREEF,14.248644708571483,18
